,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16617,"Bukhari Commercial Area, DHA Phase 6",3.0,3.0,133
3677,"Ittehad Commercial Area, DHA Phase 6",2.0,3.0,107
11458,"Saima Presidency, Malir Cantonment",4.0,4.0,267
18213,"Clifton - Block 5, Clifton",3.0,4.0,178
13516,"DHA Phase 6, DHA Defence",4.0,5.0,500
8147,"Shahmir Residency, University Road",4.0,4.0,120
4572,"Falcon Complex New Malir, Malir",5.0,6.0,350
10467,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
1371,"Bahria Town Karachi, Karachi",3.0,3.0,45
5422,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
12359,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
3940,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,100
8182,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
7960,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
2284,"Bahria Town - Precinct 20, Bahria Town Karachi",5.0,6.0,500
13702,other,5.0,3.0,200
19214,"Saadi Town, Scheme 33",8.0,8.0,500
1521,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",3.0,3.0,217
16833,"DHA Phase 8, DHA Defence",1.0,2.0,153
10481,"Bahria Town - Precinct 4, Bahria Town Karachi",6.0,7.0,500
16825,"Gulistan-e-Jauhar, Karachi",4.0,5.0,266
19064,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,2.0,156
6919,"Model Colony - Malir, Malir",4.0,6.0,131
7041,other,3.0,3.0,167
11633,"Gohar Green City, Karachi",2.0,2.0,80
9015,other,3.0,3.0,144
8644,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
18523,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",4.0,4.0,110
1646,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",3.0,3.0,217
16150,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",2.0,2.0,122
17513,"Naya Nazimabad, Karachi",4.0,4.0,120
4934,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",8.0,6.0,400
7966,"Askari 5, Malir Cantonment",3.0,4.0,289
16701,"Civil Lines, Karachi",4.0,4.0,289
17895,"Shamsi Society, Shah Faisal Town",2.0,2.0,125
11306,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,3.0,120
13873,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,156
944,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
7336,"DHA Phase 6, DHA Defence",6.0,6.0,666
16697,"DHA Phase 6, DHA Defence",4.0,5.0,250
2862,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,167
2486,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
19069,other,3.0,3.0,156
4523,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
7926,"DHA Phase 6, DHA Defence",8.0,6.0,600
952,"North Nazimabad, Karachi",4.0,5.0,311
8126,"Shahmir Residency, University Road",4.0,4.0,120
532,other,4.0,6.0,120
1528,"Defence View Phase 1, Defence View Society",8.0,1.0,200
19001,"North Nazimabad - Block L, North Nazimabad",3.0,3.0,189
16551,other,3.0,4.0,161
357,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
5832,"PECHS Block 2, PECHS",4.0,4.0,300
887,"Bahria Town Karachi, Karachi",4.0,4.0,272
534,"Naya Nazimabad, Karachi",2.0,2.0,139
10069,"Shahra-e-Faisal, Karachi",4.0,4.0,267
7208,"DHA Phase 4, DHA Defence",5.0,5.0,300
9205,"Bahria Town - Precinct 4, Bahria Town Karachi",5.0,5.0,500
16571,"Bukhari Commercial Area, DHA Phase 6",3.0,3.0,133
19058,"Lakhani Fantasia, Scheme 33",1.0,1.0,61
4014,"Chapal Courtyard, Karachi",2.0,2.0,117
9674,"Askari 5 - Sector H, Askari 5",5.0,5.0,375
18606,"Mehmoodabad Number 1, Mehmoodabad",3.0,2.0,83
148,"Falcon Complex New Malir, Malir",4.0,4.0,350
17229,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",6.0,6.0,240
2889,other,2.0,2.0,83
6553,"Clifton - Block 2, Clifton",3.0,3.0,178
13726,"Gulshan-e-Iqbal Town, Karachi",8.0,6.0,240
9596,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
14568,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
5949,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
12756,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
4099,other,2.0,2.0,120
13604,"Bath Island, Karachi",4.0,4.0,333
4460,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,58
16817,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
12242,"Bahria Town - Precinct 18, Bahria Town Karachi",2.0,2.0,122
5417,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
14103,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,491
1087,"DHA Phase 6, DHA Defence",2.0,2.0,50
8953,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,328
2895,"Bahria Town Karachi, Karachi",4.0,4.0,51
14670,"Gulistan-e-Jauhar - Block 20, Gulistan-e-Jauhar",2.0,2.0,156
3134,"DHA Phase 6, DHA Defence",5.0,6.0,300
15699,"Bahria Town Karachi, Karachi",2.0,2.0,106
3188,"Bahria Heights, Bahria Town Karachi",2.0,3.0,122
3705,"Falcon Complex New Malir, Malir",5.0,5.0,500
19121,"Delhi Colony, Karachi",3.0,2.0,100
2848,"DHA Phase 8 - Zone B, DHA Phase 8",6.0,6.0,500
18214,"DHA Phase 7, DHA Defence",5.0,6.0,500
5556,"DHA Phase 8, DHA Defence",5.0,5.0,120
13871,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",4.0,4.0,200
8452,"Falcon Complex New Malir, Malir",4.0,4.0,350
48,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,183
19385,"North Nazimabad - Block M, North Nazimabad",2.0,2.0,106
481,"Bahria Town Karachi, Karachi",3.0,3.0,125
11970,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
285,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
4841,"Frere Town, Karachi",3.0,3.0,256
15912,"Falcon Complex New Malir, Malir",5.0,5.0,500
19202,"DHA Phase 2, DHA Defence",4.0,4.0,300
554,"DHA Phase 8, DHA Defence",6.0,7.0,500
14707,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
14766,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
7204,"DHA Phase 6, DHA Defence",3.0,3.0,183
11070,"Rahat Commercial Area, DHA Phase 6",2.0,2.0,106
5531,"Clifton - Block 2, Clifton",4.0,4.0,289
12850,"Askari 5, Malir Cantonment",3.0,3.0,286
17562,"Model Colony - Malir, Malir",4.0,6.0,142
4838,"DHA Phase 6, DHA Defence",3.0,3.0,233
18685,"DHA Phase 8, DHA Defence",5.0,6.0,500
4801,"Clifton - Block 2, Clifton",3.0,4.0,252
11016,"Emaar Crescent Bay, DHA Phase 8",1.0,1.0,117
4539,"Saadi Town, Scheme 33",8.0,6.0,400
16827,"Saadi Town - Block 5, Saadi Town",6.0,6.0,240
19360,other,3.0,2.0,120
6842,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
3142,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3.0,3.0,150
4858,"Bath Island, Karachi",3.0,3.0,200
3461,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,100
5352,"Bukhari Commercial Area, DHA Phase 6",2.0,2.0,106
3266,"Askari 5, Malir Cantonment",3.0,3.0,286
555,"Naya Nazimabad, Karachi",3.0,3.0,194
8886,"DHA Phase 5 Extension, DHA Phase 5",5.0,6.0,500
872,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
19018,other,2.0,2.0,70
17817,"PECHS Block 2, PECHS",3.0,4.0,160
6754,other,2.0,2.0,67
15441,"Emaar Panorama, DHA Phase 8",1.0,2.0,130
11452,"Saima Presidency, Malir Cantonment",3.0,3.0,178
878,"Gohar Green City, Karachi",2.0,2.0,67
15179,"Falcon Complex New Malir, Malir",4.0,4.0,350
3652,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A",3.0,3.0,178
13683,"Bath Island, Karachi",4.0,4.0,297
19327,other,3.0,3.0,240
10610,"DHA Phase 8, DHA Defence",6.0,6.0,500
294,"DHA Phase 5, DHA Defence",3.0,5.0,333
6595,"Model Colony - Malir, Malir",4.0,6.0,131
18646,"Gulistan-e-Jauhar, Karachi",2.0,2.0,60
8310,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
8764,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",2.0,2.0,100
12149,"DHA Phase 4, DHA Defence",3.0,3.0,545
12255,"Bahria Town Karachi, Karachi",1.0,1.0,94
5513,"DHA Phase 8, DHA Defence",6.0,6.0,500
18342,other,2.0,2.0,84
4314,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A",8.0,6.0,240
4337,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
13882,"DHA Phase 4, DHA Defence",6.0,6.0,300
7994,"Bahria Town Karachi, Karachi",2.0,2.0,35
17089,"Diamond City, Gulshan-e-Maymar",2.0,3.0,120
16348,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
3807,"DHA Phase 8, DHA Defence",4.0,4.0,100
9070,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
13902,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
6858,other,3.0,3.0,120
14377,"Tariq Road, Karachi",3.0,4.0,167
3219,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
5361,"North Nazimabad - Block C, North Nazimabad",3.0,3.0,178
1348,"DHA Phase 8, DHA Defence",5.0,5.0,666
7570,"Bahria Town - Precinct 18, Bahria Town Karachi",2.0,2.0,35
13299,"Federal B Area - Block 10, Federal B Area",3.0,3.0,167
4612,"Saima Luxury Homes, Karachi",4.0,4.0,240
18655,other,2.0,2.0,83
9516,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
9453,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
7446,"Scheme 33, Karachi",2.0,2.0,100
14408,"Diamond Residency, Defence View Phase 2",3.0,3.0,189
13971,"Clifton - Block 8, Clifton",3.0,3.0,328
6311,"Federal B Area - Block 6, Federal B Area",6.0,6.0,400
18361,"PECHS Block 2, PECHS",3.0,3.0,150
19049,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,3.0,240
13942,"Emaar Crescent Bay, DHA Phase 8",2.0,3.0,246
9656,"Askari 5, Malir Cantonment",3.0,3.0,286
1992,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
17650,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",4.0,4.0,120
15342,"DHA Phase 6, DHA Defence",3.0,3.0,156
18540,"Sharfabad, Gulshan-e-Iqbal Town",3.0,3.0,333
2155,"Bahria Town - Precinct 2, Bahria Town Karachi",3.0,3.0,150
5443,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",4.0,4.0,222
5207,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
1935,"Bahria Town - Precinct 8, Bahria Town Karachi",2.0,2.0,88
7787,"Bahria Town - Precinct 18, Bahria Town Karachi",2.0,2.0,35
17942,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,200
117,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
11302,"Gwalior Cooperative Housing Society, Scheme 33",4.0,4.0,120
18058,other,6.0,4.0,120
1910,"DHA Phase 6, DHA Defence",6.0,6.0,666
8067,"Shahmir Residency, University Road",4.0,4.0,120
7910,"Bahria Town Karachi, Karachi",3.0,3.0,45
17574,"Model Colony - Malir, Malir",6.0,6.0,100
11301,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",2.0,2.0,89
15553,"DHA Phase 8, DHA Defence",4.0,5.0,356
15243,"DHA Phase 6, DHA Defence",6.0,6.0,500
1053,"HMR Waterfront, DHA Phase 8",2.0,2.0,194
18227,other,5.0,4.0,83
9631,"PECHS Block 2, PECHS",4.0,4.0,300
1288,"DHA Phase 7, DHA Defence",6.0,6.0,700
7964,"Saima Jinnah Avenue, Malir",3.0,4.0,244
15521,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",2.0,2.0,94
11634,"Gohar Green City, Karachi",6.0,4.0,240
19294,"DHA Phase 5, DHA Defence",2.0,3.0,100
2645,"Bahria Town - Precinct 10, Bahria Town Karachi",1.0,1.0,64
17875,other,3.0,3.0,200
4627,"Askari 5 - Sector J, Askari 5",5.0,6.0,375
8639,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
15825,"North Nazimabad - Block K, North Nazimabad",1.0,1.0,70
3861,"Clifton - Block 6, Clifton",4.0,4.0,300
9608,"Clifton - Block 8, Clifton",6.0,6.0,500
9544,"Amir Khusro, Karachi",5.0,6.0,600
12139,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
10141,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
12065,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
14017,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
4309,"Bahria Apartments, Bahria Town Karachi",1.0,1.0,58
895,"Saima Arabian Villas, Gadap Town",3.0,3.0,240
4402,"Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",4.0,4.0,120
3746,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
13967,"Muslim Commercial Area, DHA Phase 6",2.0,2.0,56
11821,"DHA Phase 2 Extension, DHA Defence",1.0,1.0,61
14600,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,172
18609,"Gohar Green City, Karachi",2.0,2.0,120
9800,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
16934,"Nishat Commercial Area, DHA Phase 6",3.0,3.0,139
5593,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,156
5943,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
13083,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
3598,"North Nazimabad - Block M, North Nazimabad",2.0,2.0,111
11387,"Scheme 33, Karachi",2.0,2.0,106
4827,"Rafi Premier Residency, Scheme 33",3.0,2.0,161
18110,"Saima Elite Villas, Malir",4.0,3.0,160
8590,"Falcon Complex New Malir, Malir",5.0,5.0,500
112,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
17413,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,122
6917,"Model Colony - Malir, Malir",4.0,6.0,131
1328,"Scheme 33, Karachi",4.0,4.0,120
8976,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,328
10490,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
2757,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",1.0,1.0,64
8166,"Emaar Pearl Towers, Emaar Crescent Bay",4.0,6.0,311
13213,"Emaar Crescent Bay, DHA Phase 8",1.0,1.0,124
2614,"Federal B Area, Karachi",2.0,2.0,89
8474,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
18033,"DHA Phase 2 Extension, DHA Defence",2.0,2.0,100
3939,"Gulshan-e-Iqbal - Block 17, Gulshan-e-Iqbal",6.0,6.0,240
556,other,4.0,4.0,250
1873,"DHA Phase 1, DHA Defence",3.0,4.0,200
14299,"PECHS Block 2, PECHS",3.0,3.0,200
18205,"Bukhari Commercial Area, DHA Phase 6",3.0,3.0,178
6423,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
11597,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,182
17584,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,161
5250,"Falcon Complex New Malir, Malir",4.0,4.0,350
2959,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
4080,"Gulzar-e-Hijri, Scheme 33",3.0,3.0,144
1278,"North Nazimabad - Block I, North Nazimabad",3.0,3.0,180
2138,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",4.0,4.0,120
1460,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,4.0,243
11756,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",4.0,5.0,100
17851,"DHA Phase 6, DHA Defence",3.0,3.0,100
317,"Clifton, Karachi",2.0,3.0,156
7227,"North Nazimabad - Block A, North Nazimabad",5.0,5.0,200
19379,"North Town Residency, Surjani Town",2.0,3.0,100
6600,"Gulshan-e-Maymar, Gadap Town",6.0,6.0,240
6568,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
13939,"Harmain Royal Residency, Gulshan-e-Iqbal Town",3.0,3.0,156
12527,"DHA Phase 4, DHA Defence",5.0,6.0,300
15871,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
6764,other,1.0,1.0,51
326,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
12711,"Falcon Complex New Malir, Malir",5.0,5.0,500
7025,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,111
11069,"Sehar Commercial Area, DHA Phase 7",2.0,2.0,106
13772,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",4.0,4.0,240
4119,"Gulistan-e-Jauhar - Block 1, Gulistan-e-Jauhar",3.0,3.0,200
16252,"Askari 5, Malir Cantonment",3.0,3.0,294
16740,"DHA Phase 6, DHA Defence",4.0,5.0,300
10185,"DHA Phase 6, DHA Defence",4.0,4.0,300
2679,"Askari 5, Malir Cantonment",4.0,4.0,333
17079,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",2.0,2.0,122
19369,other,3.0,3.0,222
2588,"Askari 5, Malir Cantonment",3.0,3.0,286
1726,"Federal B Area - Block 18, Federal B Area",4.0,3.0,140
7167,other,2.0,2.0,111
16200,"Falcon Complex New Malir, Malir",5.0,5.0,500
5783,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,167
5543,"Bahria Town Karachi, Karachi",2.0,2.0,35
5259,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
10970,other,3.0,3.0,240
4016,"Clifton, Karachi",3.0,3.0,183
18667,other,3.0,4.0,222
11024,"DHA Phase 8, DHA Defence",6.0,7.0,666
18905,other,4.0,4.0,500
2632,"Bahria Sports City, Bahria Town Karachi",4.0,5.0,350
3549,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
5206,"Askari 5, Malir Cantonment",4.0,4.0,333
10353,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
17078,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",2.0,2.0,122
4831,"Nazimabad, Karachi",4.0,4.0,216
4311,"DHA Phase 5, DHA Defence",7.0,6.0,500
8901,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
2515,"Askari 5, Malir Cantonment",3.0,3.0,286
4094,other,2.0,2.0,80
4534,"DHA Phase 6, DHA Defence",6.0,6.0,500
14105,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
7396,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
3443,"Federal B Area - Block 18, Federal B Area",2.0,2.0,120
2140,"Federal B Area - Block 10, Federal B Area",8.0,6.0,400
80,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
19275,"Saadi Town, Scheme 33",4.0,5.0,240
11155,"Al-Murtaza Commercial Area, DHA Phase 8",3.0,4.0,200
19257,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",2.0,2.0,122
17258,other,2.0,2.0,120
12268,"Bahria Town Karachi, Karachi",1.0,1.0,94
17834,"Saima Jinnah Avenue, Malir",3.0,4.0,244
3095,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
3894,other,2.0,2.0,78
15057,"Bisma Greens, Gulistan-e-Jauhar - Block 15",3.0,4.0,200
6303,"Federal B Area - Block 11, Federal B Area",6.0,6.0,600
13235,"North Nazimabad - Block F, North Nazimabad",9.0,6.0,422
5199,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
6591,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",8.0,8.0,240
4482,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",6.0,6.0,600
19024,"Scheme 33, Karachi",2.0,2.0,133
6772,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
4485,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",3.0,3.0,150
3585,other,5.0,5.0,500
18059,other,6.0,5.0,80
7312,"Falcon Complex New Malir, Malir",5.0,5.0,500
12260,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,72
3544,"DHA Phase 6, DHA Defence",6.0,7.0,500
2950,"Falcon Complex New Malir, Malir",5.0,6.0,350
9926,"North Nazimabad - Block F, North Nazimabad",10.0,8.0,500
1071,"Sanober Twin Tower, Saadi Road",2.0,2.0,136
11920,"Gohar Green City, Karachi",3.0,3.0,120
18728,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",4.0,4.0,400
17149,"Askari 5, Malir Cantonment",3.0,3.0,289
4748,"Bahria Town - Precinct 9, Bahria Town Karachi",5.0,5.0,500
12276,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
107,"Bahria Town - Ali Block, Bahria Town - Precinct 12",4.0,4.0,125
15499,"Falcon Complex New Malir, Malir",5.0,5.0,500
16520,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
1618,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",3.0,3.0,217
643,"University Road, Karachi",2.0,2.0,106
18965,"Lateef Duplex Luxuria, Scheme 33 - Sector 35-A",4.0,5.0,300
5588,"DHA Phase 8, DHA Defence",5.0,5.0,120
2073,other,3.0,3.0,200
1365,"DHA Phase 8, DHA Defence",3.0,4.0,183
6429,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",8.0,6.0,480
10083,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,182
12000,"DHA Phase 7 Extension, DHA Defence",4.0,4.0,120
6181,"Sanober Twin Tower, Saadi Road",3.0,3.0,189
14739,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",2.0,2.0,133
6179,"Salafia Society, Taiser Town",3.0,4.0,240
5130,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",2.0,2.0,111
1305,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
6390,"Mehmoodabad Number 1, Mehmoodabad",2.0,3.0,83
11951,"Shaheed Millat Road, Karachi",2.0,2.0,106
1275,"DHA Phase 8, DHA Defence",3.0,3.0,241
2441,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
14233,"Bahria Town - Precinct 10-B, Bahria Town Karachi",3.0,3.0,125
5951,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",3.0,3.0,190
14244,"Tulip Tower, Saadi Road",2.0,2.0,128
2731,"Askari 5 - Sector J, Askari 5",6.0,6.0,375
1031,"DHA Phase 6, DHA Defence",4.0,5.0,500
7425,"Gulshan-e-Iqbal Town, Karachi",2.0,2.0,100
7284,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,167
16176,"Clifton - Block 7, Clifton",3.0,3.0,189
14357,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
3284,"Askari 5 - Sector J, Askari 5",5.0,6.0,375
17088,"Dhoraji Colony, Gulshan-e-Iqbal Town",3.0,3.0,150
16579,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,125
19436,"Gohar Green City, Karachi",3.0,3.0,120
14140,"DHA Phase 8, DHA Defence",5.0,5.0,120
2248,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,103
16239,other,3.0,3.0,125
6864,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,83
898,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",4.0,4.0,222
18016,other,2.0,2.0,106
5835,"PECHS Block 2, PECHS",4.0,5.0,300
7032,other,1.0,1.0,70
11059,other,3.0,3.0,286
6975,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240
8541,"Falaknaz Presidency, Malir",3.0,3.0,178
9237,"DHA Phase 8 - Zone B, DHA Phase 8",6.0,9.0,500
9659,"Askari 5, Malir Cantonment",3.0,3.0,286
3683,"North Nazimabad - Block I, North Nazimabad",3.0,4.0,300
18031,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,3.0,200
8280,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
12262,"North Nazimabad - Block H, North Nazimabad",3.0,3.0,178
5098,"Falaknaz Presidency, Malir",4.0,4.0,218
5883,"Garden East, Jamshed Town",3.0,3.0,178
17925,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,240
8361,"Federal B Area - Block 12, Federal B Area",3.0,3.0,200
1702,"Clifton, Karachi",4.0,6.0,667
6084,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
14264,"Allahwala Town - Sector 31-G, Allahwala Town",2.0,1.0,50
3551,"Federal B Area - Block 15, Federal B Area",2.0,3.0,120
6785,other,2.0,2.0,122
18424,"Saima Royal Residency, Rashid Minhas Road",2.0,2.0,122
3760,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",8.0,6.0,240
4707,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",7.0,6.0,400
18629,other,2.0,2.0,60
2083,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
11381,"Grey Noor Tower & Shopping Mall, Scheme 33",2.0,2.0,83
15221,"Falcon Complex New Malir, Malir",4.0,4.0,350
1508,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4.0,5.0,120
6376,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,318
6870,"Model Colony - Malir, Malir",4.0,6.0,131
9754,"Askari 5 - Sector J, Askari 5",3.0,3.0,286
6829,other,3.0,3.0,94
4605,"Al-Murtaza Commercial Area, DHA Phase 8",3.0,4.0,178
5619,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,122
1821,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,108
15353,"Gulshan-e-Maymar - Sector T, Gulshan-e-Maymar",3.0,3.0,400
15452,"Gulshan-e-Maymar - Sector T, Gulshan-e-Maymar",6.0,8.0,260
19340,"Lakhani Fantasia, Scheme 33",1.0,1.0,56
17074,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",2.0,2.0,122
6004,"Federal B Area - Block 8, Federal B Area",2.0,2.0,133
18819,"Clifton - Block 8, Clifton",3.0,4.0,200
11082,other,3.0,3.0,120
7088,"Lucky One Apartment, Rashid Minhas Road",3.0,3.0,202
7546,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,200
9017,"North Nazimabad - Block H, North Nazimabad",3.0,3.0,233
16085,"Emaar Crescent Bay, DHA Phase 8",3.0,4.0,272
269,"Clifton, Karachi",4.0,5.0,220
8684,"Clifton - Block 8, Clifton",3.0,4.0,222
